mesto,mesto2,mesto3,lat,lon
Sremski Karlovci,Sremskim Karlovcima,Sremskih Karlovaca,45.185,19.954
Stara Pazova,Staroj Pazovi,Stare Pazove,45.001000000000005,20.173
Subotica,Subotici,Subotice,46.0937,19.674
Surdulica,Surdulici,Surdulice,42.69,22.176
Surčin,Surčinu,Surčina,44.79306,20.28028
Svilajnac,Svilajncu,Svilajnca,44.245,21.199
Svrljig,Svrljigu,Svrljiga,43.418,22.127
Temerin,Temerinu,Temerina,45.428000000000004,19.896
Titel,Titelu,Titela,45.206109999999995,20.29444
Topola,Topoli,Topole,44.251999999999995,20.689
Trgovište,Trgovištu,Trgovišta,42.356,22.064
Trstenik,Trsteniku,Trstenika,43.61694,21.0025
Tutin,Tutinu,Tutina,42.989,20.332
Užice,Užicu,Užica,43.861000000000004,19.843
Valjevo,Valjevu,Valjeva,44.272,19.885
Varvarin,Varvarinu,Varvarina,43.723,21.361
Velika Plana,Velikoj Plani,Velike Plane,44.325,21.053
Veliko Gradište,Velikom Gradištu,Velikog Gradišta,44.751999999999995,21.504
Vladimirci,Vladimircima,Vladimiraca,44.615,19.766
Vladičin Han,Vladičinom Hanu,Vladičinog Hana,42.711000000000006,22.059
Vlasotince,Vlasotincu,Vlasotinaca,42.967,22.133000000000006
Vranje,Vranju,Vranja,42.551390000000005,21.90028
Vrbas,Vrbasu,Vrbasa,45.586000000000006,19.648
Vrnjačka Banja,Vrnjačkoj Banji,Vrnjačke Banje,43.62725,20.89634
Vršac,Vršcu,Vršca,45.11667,21.30361
Zaječar,Zaječaru,Zaječara,43.90358,22.26405
Zemun,Zemunu,Zemuna,44.851000000000006,20.366
Zrenjanin,Zrenjaninu,Zrenjanina,45.383,20.391
Ćićevac,Ćićevcu,Ćićevca,43.715,21.437
Ćuprija,Ćupriji,Ćuprije,43.9275,21.37
Čajetina,Čajetini,Čajetine,43.74977,19.71273
Čačak,Čačku,Čačka,43.891999999999996,20.348
Čoka,Čoki,Čoke,45.9425,20.14333
Šabac,Šapcu,Šapca,44.768,19.679
Šid,Šidu,Šida,45.148999999999994,19.21
Žabalj,Žablju,Žablja,45.385,20.128
Žabari,Žabarima,Žabara,44.361000000000004,21.203000000000007
Žagubica,Žagubici,Žagubice,44.155,21.857
Žitište,Žitištu,Žitišta,45.49100000000001,20.533
Žitorađa,Žitorađi,Žitorađe,43.184,21.698
Kostolac,Kostolcu,Kostolca,44.729,21.18
Beograd,Beogradu,Beograda,44.833,20.5
Priština,Prištini,Prištine,42.667,21.167
Kosovska Mitrovica,Kosovskoj Mitrovici,Kosovske Mitrovice,42.876999999999995,20.855
